#CONFIG#{"theme": "light", "font_size": 16, "window_width": 2048, "window_height": 1189, "font_family": "Microsoft YaHei UI"}
时间,科目,题干,正确答案,附件路径,难度,合集
2026-01-28 01:30:48,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",求导后分析导函数的符号确定单调区间。,无,简单,
2026-02-14 02:51:55,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,根据椭圆的标准方程和离心率公式计算。,无,简单,
2026-02-15 08:16:08,语文,下列句子中，加点字的读音完全正确的一项是,熟练背诵名篇名句，准确填写。,无,困难,
2026-02-17 09:58:01,语文,下列词语中，没有错别字的一组是,把握文章主旨，理解作者观点态度。,attachment_21.pdf,困难,
2026-02-03 21:48:54,语文,现代文阅读：阅读下面的文字，完成题目,根据上下文和词义辨析，选择最合适的解释。,无,困难,
2026-02-10 03:36:57,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",根据椭圆的标准方程和离心率公式计算。,无,困难,
2026-01-22 00:03:59,数学,"设等差数列 {an} 的前 n 项和为 Sn，若 a3 = 5, S5 = 25，则 a10 =",求导后分析导函数的符号确定单调区间。,无,简单,
2026-02-08 04:36:37,语文,下列文学常识的表述，错误的一项是,熟悉文学常识，准确判断各选项的正误。,无,困难,
2026-01-29 12:33:04,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,求导后分析导函数的符号确定单调区间。,无,简单,
2026-02-14 10:09:29,语文,古诗文默写：补写出下列名篇名句中的空缺部分,熟悉文学常识，准确判断各选项的正误。,attachment_27.pdf,中等,
2026-02-12 04:44:22,语文,下列句子中，加点字的读音完全正确的一项是,理解文言文中的实词、虚词、句式，推断文意。,attachment_28.pdf,困难,
2026-02-14 16:33:52,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用向量垂直的条件 a·b = 0 求解。,attachment_29.pdf,中等,
2026-01-27 01:09:42,数学,函数 f(x) = sin x + cos x 的最大值为,利用线性规划的方法求目标函数的最值。,无,困难,
2026-01-22 10:22:25,语文,下列词语中，没有错别字的一组是,理解文言文中的实词、虚词、句式，推断文意。,无,中等,
2026-02-15 06:11:44,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,求导后分析导函数的符号确定单调区间。,无,困难,
2026-02-06 04:50:09,语文,下列各句中，没有语病的一句是,根据汉字的读音规则和声调，正确答案是B选项。,无,简单,
2026-02-18 07:15:25,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,利用向量垂直的条件 a·b = 0 求解。,无,困难,
2026-01-22 17:05:51,语文,下列各句中，没有语病的一句是,结合语境和成语的含义，C项使用恰当。,无,中等,
2026-02-09 13:06:14,语文,对下列句子中加点词语的解释，不正确的一项是,根据汉字的读音规则和声调，正确答案是B选项。,attachment_36.pdf,困难,
2026-02-17 17:12:29,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",根据椭圆的标准方程和离心率公式计算。,attachment_37.pdf,困难,
2026-02-12 22:34:42,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,根据椭圆的标准方程和离心率公式计算。,attachment_38.pdf,中等,
2026-01-22 14:01:47,语文,下列各句中，加点的成语使用恰当的一句是,把握文章主旨，理解作者观点态度。,attachment_39.pdf,中等,
2026-02-11 13:24:25,语文,下列各句中，没有语病的一句是,根据汉字的读音规则和声调，正确答案是B选项。,无,困难,
2026-02-15 21:13:36,语文,古诗文默写：补写出下列名篇名句中的空缺部分,根据上下文和词义辨析，选择最合适的解释。,无,困难,
2026-02-07 06:40:15,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,利用配方法或求导法找到函数的最小值点。,无,困难,
2026-02-06 16:31:59,语文,下列各句中，加点的成语使用恰当的一句是,理解文言文中的实词、虚词、句式，推断文意。,attachment_43.pdf,简单,
2026-02-12 13:46:08,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,运用等差数列的通项公式和前n项和公式求解。,无,困难,
2026-01-29 03:57:01,语文,下列文学常识的表述，错误的一项是,分析句子结构，找出语病类型并修正。,attachment_45.pdf,困难,
2026-01-22 20:14:30,语文,下列词语中，没有错别字的一组是,从诗歌的意境、表达技巧等角度分析，得出答案。,无,困难,
2026-02-20 04:23:43,语文,古诗文默写：补写出下列名篇名句中的空缺部分,分析句子结构，找出语病类型并修正。,无,困难,
2026-01-30 11:00:36,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用线性规划的方法求目标函数的最值。,无,简单,
2026-02-05 21:20:07,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",利用配方法或求导法找到函数的最小值点。,attachment_49.pdf,简单,
2026-02-15 11:51:30,语文,下列句子中，加点字的读音完全正确的一项是,把握文章主旨，理解作者观点态度。,attachment_50.pdf,困难,
2026-02-11 23:57:06,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,运用等差数列的通项公式和前n项和公式求解。,attachment_51.pdf,简单,
2026-01-29 04:20:12,语文,文言文阅读：阅读下面的文言文，完成题目,理解文言文中的实词、虚词、句式，推断文意。,attachment_52.pdf,中等,
2026-01-24 01:20:57,语文,现代文阅读：阅读下面的文字，完成题目,理解文言文中的实词、虚词、句式，推断文意。,attachment_53.pdf,简单,
2026-02-18 05:22:07,语文,下列文学常识的表述，错误的一项是,理解文言文中的实词、虚词、句式，推断文意。,无,简单,
2026-02-08 13:02:59,语文,古诗文默写：补写出下列名篇名句中的空缺部分,把握文章主旨，理解作者观点态度。,无,简单,
2026-02-16 08:10:30,数学,"设等差数列 {an} 的前 n 项和为 Sn，若 a3 = 5, S5 = 25，则 a10 =",求导后分析导函数的符号确定单调区间。,attachment_56.pdf,中等,
2026-02-04 17:10:37,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",运用等差数列的通项公式和前n项和公式求解。,无,困难,
2026-01-26 10:17:44,语文,对下列句子中加点词语的解释，不正确的一项是,结合语境和成语的含义，C项使用恰当。,attachment_58.pdf,中等,
2026-01-23 22:07:44,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用正态分布的对称性求解概率。,无,困难,
2026-02-08 11:05:28,语文,古诗文默写：补写出下列名篇名句中的空缺部分,通过分析各选项中的汉字结构和用法，确定A项为正确答案。,无,困难,
2026-02-02 02:32:46,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,利用配方法或求导法找到函数的最小值点。,无,中等,
2026-01-24 18:53:41,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,运用等差数列的通项公式和前n项和公式求解。,无,简单,
2026-02-13 18:18:36,语文,下列句子中，加点字的读音完全正确的一项是,熟练背诵名篇名句，准确填写。,无,中等,
2026-02-07 10:10:54,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",运用等差数列的通项公式和前n项和公式求解。,无,简单,
2026-02-16 04:09:11,语文,下列词语中，没有错别字的一组是,从诗歌的意境、表达技巧等角度分析，得出答案。,无,简单,
2026-02-17 08:37:35,数学,"设等差数列 {an} 的前 n 项和为 Sn，若 a3 = 5, S5 = 25，则 a10 =",求导后分析导函数的符号确定单调区间。,无,困难,
2026-02-16 16:49:23,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用正弦定理和余弦定理解决三角形问题。,attachment_67.pdf,困难,
2026-02-16 17:18:14,语文,现代文阅读：阅读下面的文字，完成题目,通过分析各选项中的汉字结构和用法，确定A项为正确答案。,无,中等,
2026-02-19 06:29:06,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,求导后分析导函数的符号确定单调区间。,无,中等,
2026-01-26 19:11:13,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,将函数化为辅助角公式的形式求最值。,无,简单,
2026-02-02 10:25:17,语文,下列文学常识的表述，错误的一项是,根据汉字的读音规则和声调，正确答案是B选项。,attachment_71.pdf,困难,
2026-01-23 08:03:21,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,将函数化为辅助角公式的形式求最值。,无,困难,
2026-02-01 16:47:07,语文,文言文阅读：阅读下面的文言文，完成题目,熟悉文学常识，准确判断各选项的正误。,无,简单,
2026-02-01 02:25:16,语文,下列句子中，加点字的读音完全正确的一项是,根据上下文和词义辨析，选择最合适的解释。,无,困难,
2026-02-10 16:57:50,语文,下列词语中，没有错别字的一组是,熟练背诵名篇名句，准确填写。,无,困难,
2026-02-16 12:55:24,语文,古诗文默写：补写出下列名篇名句中的空缺部分,熟悉文学常识，准确判断各选项的正误。,无,中等,
2026-02-14 15:06:04,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,将函数化为辅助角公式的形式求最值。,attachment_77.pdf,困难,
2026-02-19 02:23:45,语文,对下列句子中加点词语的解释，不正确的一项是,从诗歌的意境、表达技巧等角度分析，得出答案。,无,简单,
2026-02-18 10:19:29,语文,下列句子中，加点字的读音完全正确的一项是,结合语境和成语的含义，C项使用恰当。,无,困难,
2026-02-01 13:56:01,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",根据椭圆的标准方程和离心率公式计算。,无,困难,
2026-02-17 07:40:57,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",求导后分析导函数的符号确定单调区间。,无,简单,
2026-02-15 14:57:51,语文,现代文阅读：阅读下面的文字，完成题目,熟练背诵名篇名句，准确填写。,attachment_82.pdf,中等,
2026-01-26 21:49:58,语文,下列各句中，加点的成语使用恰当的一句是,把握文章主旨，理解作者观点态度。,attachment_83.pdf,困难,
2026-02-21 00:52:49,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,利用正态分布的对称性求解概率。,无,困难,
2026-02-15 05:48:01,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,利用正态分布的对称性求解概率。,无,困难,
2026-01-25 00:08:39,语文,对下列句子中加点词语的解释，不正确的一项是,把握文章主旨，理解作者观点态度。,attachment_86.pdf,简单,
2026-02-16 17:20:05,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",求导后分析导函数的符号确定单调区间。,无,简单,
2026-02-04 01:24:26,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",求导后分析导函数的符号确定单调区间。,无,简单,
2026-01-30 18:37:13,数学,"设等差数列 {an} 的前 n 项和为 Sn，若 a3 = 5, S5 = 25，则 a10 =",利用正态分布的对称性求解概率。,无,简单,
2026-01-31 12:34:53,语文,文言文阅读：阅读下面的文言文，完成题目,结合语境和成语的含义，C项使用恰当。,无,困难,
2026-02-17 20:37:12,语文,下列各句中，没有语病的一句是,根据汉字的读音规则和声调，正确答案是B选项。,无,中等,
2026-02-10 15:40:31,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,将函数化为辅助角公式的形式求最值。,attachment_92.pdf,简单,
2026-02-13 05:19:18,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",利用向量垂直的条件 a·b = 0 求解。,attachment_93.pdf,困难,
2026-01-23 18:38:32,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用向量垂直的条件 a·b = 0 求解。,attachment_94.pdf,简单,
2026-02-01 16:14:26,语文,下列词语中，没有错别字的一组是,理解文言文中的实词、虚词、句式，推断文意。,无,简单,
2026-01-22 09:30:23,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",运用等差数列的通项公式和前n项和公式求解。,attachment_96.pdf,简单,
2026-02-20 13:11:58,语文,古诗文默写：补写出下列名篇名句中的空缺部分,从诗歌的意境、表达技巧等角度分析，得出答案。,attachment_97.pdf,困难,
2026-01-26 17:34:09,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,利用正弦定理和余弦定理解决三角形问题。,无,简单,
2026-02-15 09:38:30,语文,文言文阅读：阅读下面的文言文，完成题目,分析句子结构，找出语病类型并修正。,无,中等,
2026-02-18 05:54:10,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用正弦定理和余弦定理解决三角形问题。,无,简单,
2026-02-05 17:46:29,语文,下列句子中，加点字的读音完全正确的一项是,结合语境和成语的含义，C项使用恰当。,无,中等,
2026-02-04 07:31:15,语文,文言文阅读：阅读下面的文言文，完成题目,把握文章主旨，理解作者观点态度。,无,简单,
2026-02-04 11:36:55,语文,古诗词鉴赏：阅读下面这首诗，完成题目,分析句子结构，找出语病类型并修正。,attachment_103.pdf,困难,
2026-01-25 08:03:00,语文,古诗文默写：补写出下列名篇名句中的空缺部分,熟悉文学常识，准确判断各选项的正误。,无,困难,
2026-02-05 13:28:10,语文,下列文学常识的表述，错误的一项是,理解文言文中的实词、虚词、句式，推断文意。,attachment_105.pdf,中等,
2026-02-19 08:25:57,语文,下列句子中，加点字的读音完全正确的一项是,理解文言文中的实词、虚词、句式，推断文意。,attachment_106.pdf,困难,
2026-02-17 14:22:24,语文,文言文阅读：阅读下面的文言文，完成题目,根据汉字的读音规则和声调，正确答案是B选项。,attachment_107.pdf,简单,
2026-02-01 22:24:05,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用向量垂直的条件 a·b = 0 求解。,无,中等,
2026-02-07 14:04:56,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",利用向量垂直的条件 a·b = 0 求解。,无,简单,
2026-02-12 20:50:03,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,将函数化为辅助角公式的形式求最值。,无,中等,
2026-02-19 00:38:30,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用向量垂直的条件 a·b = 0 求解。,无,困难,
2026-01-22 10:03:40,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,根据椭圆的标准方程和离心率公式计算。,attachment_112.pdf,困难,
2026-01-31 10:45:30,语文,文言文阅读：阅读下面的文言文，完成题目,把握文章主旨，理解作者观点态度。,无,简单,
2026-02-04 15:12:58,语文,下列文学常识的表述，错误的一项是,理解文言文中的实词、虚词、句式，推断文意。,无,中等,
2026-02-15 19:42:43,语文,现代文阅读：阅读下面的文字，完成题目,根据上下文和词义辨析，选择最合适的解释。,无,困难,
2026-02-14 03:45:48,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,求导后分析导函数的符号确定单调区间。,attachment_116.pdf,困难,
2026-02-02 10:16:09,语文,下列各句中，没有语病的一句是,熟练背诵名篇名句，准确填写。,无,中等,
2026-02-06 18:28:19,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",求导后分析导函数的符号确定单调区间。,无,困难,
2026-01-26 11:50:36,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,求导后分析导函数的符号确定单调区间。,无,困难,
2026-02-02 15:19:25,语文,下列文学常识的表述，错误的一项是,熟悉文学常识，准确判断各选项的正误。,无,中等,
2026-01-31 11:16:41,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",将函数化为辅助角公式的形式求最值。,无,简单,
2026-02-03 15:47:54,语文,下列各句中，加点的成语使用恰当的一句是,熟练背诵名篇名句，准确填写。,无,困难,
2026-02-07 10:24:42,数学,函数 f(x) = sin x + cos x 的最大值为,运用等差数列的通项公式和前n项和公式求解。,无,中等,
2026-02-10 17:56:02,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,运用等差数列的通项公式和前n项和公式求解。,无,简单,
2026-01-24 22:13:20,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用线性规划的方法求目标函数的最值。,attachment_125.pdf,困难,
2026-02-21 11:39:44,语文,古诗词鉴赏：阅读下面这首诗，完成题目,熟悉文学常识，准确判断各选项的正误。,attachment_126.pdf,中等,
2026-01-30 01:06:59,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,利用正态分布的对称性求解概率。,无,中等,
2026-01-24 12:56:42,语文,下列文学常识的表述，错误的一项是,分析句子结构，找出语病类型并修正。,无,中等,
2026-02-05 12:45:03,语文,对下列句子中加点词语的解释，不正确的一项是,把握文章主旨，理解作者观点态度。,无,简单,
2026-02-07 18:36:41,数学,函数 f(x) = sin x + cos x 的最大值为,利用配方法或求导法找到函数的最小值点。,attachment_130.pdf,中等,
2026-01-23 13:43:41,语文,下列文学常识的表述，错误的一项是,结合语境和成语的含义，C项使用恰当。,attachment_131.pdf,简单,
2026-01-26 03:27:57,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,利用向量垂直的条件 a·b = 0 求解。,无,中等,
2026-01-24 14:43:31,语文,文言文阅读：阅读下面的文言文，完成题目,从诗歌的意境、表达技巧等角度分析，得出答案。,attachment_133.pdf,简单,
2026-02-02 20:47:25,语文,下列词语中，没有错别字的一组是,理解文言文中的实词、虚词、句式，推断文意。,无,中等,
2026-02-12 13:04:38,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,根据椭圆的标准方程和离心率公式计算。,无,中等,
2026-01-27 16:10:39,语文,对下列句子中加点词语的解释，不正确的一项是,根据上下文和词义辨析，选择最合适的解释。,attachment_136.pdf,中等,
2026-02-10 21:04:47,语文,对下列句子中加点词语的解释，不正确的一项是,熟悉文学常识，准确判断各选项的正误。,attachment_137.pdf,困难,
2026-02-20 21:26:28,语文,文言文阅读：阅读下面的文言文，完成题目,结合语境和成语的含义，C项使用恰当。,attachment_138.pdf,困难,
2026-02-19 00:19:49,语文,下列各句中，加点的成语使用恰当的一句是,分析句子结构，找出语病类型并修正。,无,简单,
2026-02-02 08:24:05,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用正弦定理和余弦定理解决三角形问题。,无,中等,
2026-02-08 03:31:06,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用向量垂直的条件 a·b = 0 求解。,attachment_141.pdf,中等,
2026-02-07 03:59:04,数学,函数 f(x) = sin x + cos x 的最大值为,利用向量垂直的条件 a·b = 0 求解。,attachment_142.pdf,中等,
2026-02-09 10:31:12,语文,下列句子中，加点字的读音完全正确的一项是,根据汉字的读音规则和声调，正确答案是B选项。,无,中等,
2026-01-31 10:57:35,数学,函数 f(x) = sin x + cos x 的最大值为,利用正态分布的对称性求解概率。,attachment_144.pdf,简单,
2026-01-22 23:49:34,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,利用正弦定理和余弦定理解决三角形问题。,无,简单,
2026-01-27 04:19:45,数学,函数 f(x) = sin x + cos x 的最大值为,利用向量垂直的条件 a·b = 0 求解。,无,困难,
2026-01-31 06:17:14,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,利用向量垂直的条件 a·b = 0 求解。,无,简单,
2026-01-31 00:20:49,语文,下列句子中，加点字的读音完全正确的一项是,根据上下文和词义辨析，选择最合适的解释。,无,中等,
2026-02-03 08:19:21,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",运用等差数列的通项公式和前n项和公式求解。,无,简单,
2026-01-27 21:44:27,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,将函数化为辅助角公式的形式求最值。,无,困难,
2026-01-25 08:31:21,语文,现代文阅读：阅读下面的文字，完成题目,从诗歌的意境、表达技巧等角度分析，得出答案。,attachment_151.pdf,困难,
2026-02-05 22:24:56,语文,现代文阅读：阅读下面的文字，完成题目,熟悉文学常识，准确判断各选项的正误。,无,中等,
2026-02-03 18:40:47,语文,下列各句中，加点的成语使用恰当的一句是,分析句子结构，找出语病类型并修正。,attachment_153.pdf,中等,
2026-02-18 13:27:12,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用正态分布的对称性求解概率。,attachment_154.pdf,中等,
2026-02-02 02:34:07,语文,下列各句中，加点的成语使用恰当的一句是,分析句子结构，找出语病类型并修正。,无,简单,
2026-02-20 14:39:13,语文,对下列句子中加点词语的解释，不正确的一项是,结合语境和成语的含义，C项使用恰当。,无,困难,
2026-01-27 06:05:39,语文,下列各句中，加点的成语使用恰当的一句是,根据汉字的读音规则和声调，正确答案是B选项。,无,中等,
2026-01-27 18:36:16,语文,下列词语中，没有错别字的一组是,理解文言文中的实词、虚词、句式，推断文意。,无,困难,
2026-02-07 18:01:34,数学,函数 f(x) = sin x + cos x 的最大值为,利用向量垂直的条件 a·b = 0 求解。,无,中等,
2026-01-29 11:35:56,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,利用线性规划的方法求目标函数的最值。,attachment_160.pdf,中等,
2026-02-17 15:08:47,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",利用正态分布的对称性求解概率。,无,简单,
2026-02-09 10:45:59,语文,下列句子中，加点字的读音完全正确的一项是,结合语境和成语的含义，C项使用恰当。,无,中等,
2026-02-14 00:46:26,语文,现代文阅读：阅读下面的文字，完成题目,根据上下文和词义辨析，选择最合适的解释。,attachment_163.pdf,简单,
2026-02-04 16:14:06,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,利用正态分布的对称性求解概率。,无,困难,
2026-02-01 17:27:16,语文,下列词语中，没有错别字的一组是,根据上下文和词义辨析，选择最合适的解释。,attachment_165.pdf,简单,
2026-02-03 10:38:29,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,将函数化为辅助角公式的形式求最值。,无,中等,
2026-01-26 21:32:29,语文,下列句子中，加点字的读音完全正确的一项是,分析句子结构，找出语病类型并修正。,无,中等,
2026-02-10 11:07:05,语文,现代文阅读：阅读下面的文字，完成题目,熟悉文学常识，准确判断各选项的正误。,无,中等,
2026-02-12 21:49:50,语文,文言文阅读：阅读下面的文言文，完成题目,熟练背诵名篇名句，准确填写。,attachment_169.pdf,中等,
2026-02-21 02:17:01,数学,函数 f(x) = sin x + cos x 的最大值为,运用等差数列的通项公式和前n项和公式求解。,attachment_170.pdf,简单,
2026-01-22 16:16:39,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,利用复数除法法则和模的定义计算。,无,困难,
2026-01-28 08:34:00,语文,下列各句中，加点的成语使用恰当的一句是,分析句子结构，找出语病类型并修正。,无,困难,
2026-02-07 09:55:04,语文,古诗文默写：补写出下列名篇名句中的空缺部分,分析句子结构，找出语病类型并修正。,无,简单,
2026-02-08 02:37:53,语文,下列文学常识的表述，错误的一项是,根据上下文和词义辨析，选择最合适的解释。,无,简单,
2026-02-11 04:51:23,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",运用等差数列的通项公式和前n项和公式求解。,attachment_175.pdf,简单,
2026-01-31 08:00:32,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用复数除法法则和模的定义计算。,无,简单,
2026-02-05 04:31:04,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,运用等差数列的通项公式和前n项和公式求解。,无,简单,
2026-01-31 07:37:28,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,根据椭圆的标准方程和离心率公式计算。,attachment_178.pdf,简单,
2026-02-04 09:54:15,语文,下列句子中，加点字的读音完全正确的一项是,结合语境和成语的含义，C项使用恰当。,无,困难,
2026-02-08 14:18:25,语文,古诗文默写：补写出下列名篇名句中的空缺部分,结合语境和成语的含义，C项使用恰当。,无,简单,
2026-02-12 23:59:39,语文,下列句子中，加点字的读音完全正确的一项是,根据上下文和词义辨析，选择最合适的解释。,无,困难,
2026-01-25 04:26:12,语文,古诗词鉴赏：阅读下面这首诗，完成题目,熟悉文学常识，准确判断各选项的正误。,无,困难,
2026-02-12 11:33:24,语文,下列词语中，没有错别字的一组是,熟悉文学常识，准确判断各选项的正误。,无,中等,
2026-02-19 11:28:37,语文,文言文阅读：阅读下面的文言文，完成题目,把握文章主旨，理解作者观点态度。,无,简单,
2026-02-09 01:11:59,语文,下列各句中，没有语病的一句是,根据汉字的读音规则和声调，正确答案是B选项。,无,中等,
2026-02-17 06:12:59,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,利用正弦定理和余弦定理解决三角形问题。,attachment_186.pdf,中等,
2026-02-08 18:33:35,语文,古诗文默写：补写出下列名篇名句中的空缺部分,通过分析各选项中的汉字结构和用法，确定A项为正确答案。,无,困难,
2026-02-05 20:54:23,语文,下列词语中，没有错别字的一组是,把握文章主旨，理解作者观点态度。,无,困难,
2026-01-22 06:50:45,语文,古诗词鉴赏：阅读下面这首诗，完成题目,分析句子结构，找出语病类型并修正。,无,困难,
2026-01-29 07:08:20,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,运用等差数列的通项公式和前n项和公式求解。,attachment_190.pdf,中等,
2026-02-14 11:42:18,语文,古诗文默写：补写出下列名篇名句中的空缺部分,分析句子结构，找出语病类型并修正。,无,中等,
2026-02-20 21:18:52,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",利用配方法或求导法找到函数的最小值点。,无,困难,
2026-02-06 09:22:11,语文,下列词语中，没有错别字的一组是,熟悉文学常识，准确判断各选项的正误。,attachment_193.pdf,简单,
